id,frame_type,score,reason,keyoff_count,keyon_count,keyon_startcar_count,engine_running_count,keyoff_rate_hz,keyon_rate_hz,keyon_startcar_rate_hz,engine_running_rate_hz,keyoff_top,keyon_top,keyon_startcar_top,engine_running_top,keyoff_top_count,keyon_top_count,keyon_startcar_top_count,engine_running_top_count,keyon_delta,running_delta,keyon_preview,running_preview
4C1,standard,719,keyon_rate_increase,77,1334,1532,0,4.278,19.991,20.009,0.000,0000740000000000,0000750000000000,0000740000000000,,77,1006,906,0,b2:74->75,,"0000750000000000 x1006, 0000740000000000 x328",
4D1,standard,719,keyon_rate_increase,77,1334,1532,0,4.278,19.991,20.009,0.000,E900000000000000,E900000000000000,C900000000000000,,77,1331,1094,0,same,,"E900000000000000 x1331, C900000000000000 x3",
4E9,standard,667,dominant_payload_changes_keyon,18,67,77,154,1.000,1.004,1.006,0.999,E14001094625,E14001094525,E14001094725,E14001093F25,18,48,60,60,b4:46->45,b4:46->3F,"E14001094525 x48, E14001094425 x19","E14001093F25 x60, E14001094025 x60, E14001093E25 x34"
52A,standard,654,dominant_payload_changes_running,18,67,77,154,1.000,1.004,1.006,0.999,242434363736,242434363736,242434363736,242437363736,18,67,77,154,same,b2:34->37,242434363736 x67,242437363736 x154
120,standard,531,dominant_payload_changes_running,4,14,16,31,0.222,0.210,0.209,0.201,007E791000,007E791000,007E791000,007E791001,4,14,16,31,same,b4:00->01,007E791000 x14,007E791001 x31
4C5,standard,478,stable_or_low_signal,36,134,154,308,2.000,2.008,2.011,1.999,000000,000000,000000,000000,36,134,154,308,same,same,000000 x134,000000 x308
140,standard,239,stable_or_low_signal,18,67,77,154,1.000,1.004,1.006,0.999,000202,000202,000202,000202,18,67,77,154,same,same,000202 x67,000202 x154
148,standard,239,stable_or_low_signal,18,67,77,154,1.000,1.004,1.006,0.999,00,00,00,00,18,67,77,154,same,same,00 x67,00 x154
4E1,standard,239,stable_or_low_signal,18,67,77,154,1.000,1.004,1.006,0.999,4B34303238383139,4B34303238383139,4B34303238383139,4B34303238383139,18,67,77,154,same,same,4B34303238383139 x67,4B34303238383139 x154
500,standard,239,stable_or_low_signal,18,67,77,154,1.000,1.004,1.006,0.999,303003B9,303003B9,303003B9,303003B9,18,67,77,154,same,same,303003B9 x67,303003B9 x154
514,standard,239,stable_or_low_signal,18,67,77,154,1.000,1.004,1.006,0.999,3056305845503638,3056305845503638,3056305845503638,3056305845503638,18,67,77,154,same,same,3056305845503638 x67,3056305845503638 x154
530,standard,239,stable_or_low_signal,18,67,77,154,1.000,1.004,1.006,0.999,00000000,00000000,00000000,00000000,18,67,77,154,same,same,00000000 x67,00000000 x154
773,standard,239,stable_or_low_signal,18,67,77,154,1.000,1.004,1.006,0.999,00280000000000,00280000000000,00280000000000,00280000000000,18,67,77,154,same,same,00280000000000 x67,00280000000000 x154
780,standard,239,stable_or_low_signal,18,67,77,154,1.000,1.004,1.006,0.999,00310000000000,00310000000000,00310000000000,00310000000000,18,66,76,154,same,same,"00310000000000 x66, 00000000000000 x1",00310000000000 x154
