index,table_offset,raw,frame_id,flags_or_variant,clean_standard_encoding,dlc,payload_ram_ptr,aux_func_a,aux_func_b,scheduler_bucket,scheduler_mask,object_key,direct_dispatch_handlers,wire_id_ipc_source_60,wire_id_bcm_source_40,exact_live_source_60,live_count,live_period_ms,live_payload,role,wake_power_confidence
88,0x01DFD4,0x9022A000,0x408,0x2A000,no,7,0x3FFA984,,0x11EDD2,11,0x02,0x9022,0x1347F4@0x021F20,0x1022a060,0x1022a040,no,,,,other_can_object,low-for-wake
89,0x01DFD8,0x90220000,0x408,0x20000,no,8,0x3FFA98C,,0x11F908,11,0x04,0x9022,0x1347F4@0x021F20,0x10220060,0x10220040,no,,,,other_can_object,low-for-wake
90,0x01DFDC,0x90210000,0x408,0x10000,no,8,0x3FFA994,,0x11B590,0,0x08,0x9021,0x130DCE@0x021F14,0x10210060,0x10210040,no,,,,other_can_object,low-for-wake
91,0x01DFE0,0x9020C000,0x408,0x0C000,no,5,0x3FFA99C,,0x11C91E,11,0x10,0x9020,0x130DE8@0x021F08,0x1020c060,0x1020c040,no,,,,other_can_object,low-for-wake
92,0x01DFE4,0x8C6B4000,0x31A,0x34000,no,1,0x3FFA9A4,,0x11BDE0,0,0x20,0x8C6B,,0xc6b4060,0xc6b4040,no,,,,other_can_object,low-for-wake
93,0x01DFE8,0x8C630000,0x318,0x30000,no,1,0x3FFA9A8,,0x11E2CA,0,0x40,0x8C63,,0xc630060,0xc630040,no,,,,other_can_object,low-for-wake
94,0x01DFEC,0x8C394000,0x30E,0x14000,no,5,0x3FFA9AC,,0x11B2C4,12,0x00,0x8C39,,0xc394060,0xc394040,no,,,,other_can_object,low-for-wake
95,0x01DFF0,0x8C2FA000,0x30B,0x3A000,no,1,0x3FFA9B4,,0x11BA84,12,0x80,0x8C2F,,0xc2fa060,0xc2fa040,no,,,,other_can_object,low-for-wake
96,0x01DFF4,0x8C2F8000,0x30B,0x38000,no,1,0x3FFA9B8,,0x11CD2E,12,0x00,0x8C2F,,0xc2f8060,0xc2f8040,no,,,,other_can_object,low-for-wake
97,0x01DFF8,0x8C2F6000,0x30B,0x36000,no,1,0x3FFA9BC,,0x11C174,12,0x00,0x8C2F,,0xc2f6060,0xc2f6040,no,,,,other_can_object,low-for-wake
98,0x01DFFC,0x04000000,0x100,0x00000,yes,0,,0x101EEE,0x101F7A,12,0x01,0x0400,,0x100,0x100,yes,1,,,standard_dlc0_network_wake_candidate,medium: table+DLC0+live-standard-ID; bus direction unresolved
99,0x01E000,0x1FE40000,0x7F9,0x00000,yes,8,0x3FFA9C0,,0x1291BC,12,0x02,0x1FE4,,0x7f9,0x7f9,no,,,,other_can_object,low-for-wake
100,0x01E004,0x19040000,0x641,0x00000,yes,8,0x3FFA9C8,0x10A4B0,,12,0x04,0x1904,,0x641,0x641,no,,,,diagnostic_or_diagnostic_response,low-for-wake
101,0x01E008,0x19040000,0x641,0x00000,yes,8,0x3FFA9D0,0x10A484,,12,0x08,0x1904,,0x641,0x641,no,,,,diagnostic_or_diagnostic_response,low-for-wake
102,0x01E00C,0x15040000,0x541,0x00000,yes,8,0x3FFA9D8,0x0FFBA0,,13,0x10,0x1504,,0x541,0x541,no,,,,other_can_object,low-for-wake
103,0x01E010,0x14C00000,0x530,0x00000,yes,4,0x3FFA9E0,,0x129B1C,13,0x20,0x14C0,,0x530,0x530,no,,,,vin_or_config_periodic,low-for-wake
104,0x01E014,0x14A80000,0x52A,0x00000,yes,6,0x3FFA9E4,,0x127F0A,13,0x40,0x14A8,,0x52a,0x52a,no,,,,vin_or_config_periodic,low-for-wake
105,0x01E018,0x14500000,0x514,0x00000,yes,8,0x3FFA9EC,,0x127EDC,13,0x80,0x1450,,0x514,0x514,no,,,,legacy_standard_body_tx_candidate,low-for-wake
106,0x01E01C,0x13A40000,0x4E9,0x00000,yes,6,0x3FFA9F4,,0x128926,13,0x01,0x13A4,,0x4e9,0x4e9,no,,,,other_can_object,low-for-wake
107,0x01E020,0x13840000,0x4E1,0x00000,yes,8,0x3FFA9FC,,0x1280D8,13,0x02,0x1384,,0x4e1,0x4e1,no,,,,legacy_standard_body_tx_candidate,low-for-wake
108,0x01E024,0x135C0000,0x4D7,0x00000,yes,5,0x3FFAA04,,0x128BEC,13,0x04,0x135C,,0x4d7,0x4d7,no,,,,other_can_object,low-for-wake
109,0x01E028,0x13140000,0x4C5,0x00000,yes,3,0x3FFAA0C,,0x1288C0,13,0x08,0x1314,,0x4c5,0x4c5,no,,,,other_can_object,low-for-wake
110,0x01E02C,0x11440000,0x451,0x00000,yes,6,0x3FFAA10,,0x128D54,14,0x10,0x1144,,0x451,0x451,no,,,,legacy_standard_body_tx_candidate,low-for-wake
111,0x01E030,0x0FC40000,0x3F1,0x00000,yes,8,0x3FFAA18,,0x128682,14,0x20,0x0FC4,,0x3f1,0x3f1,no,,,,other_can_object,low-for-wake
112,0x01E034,0x0F9C0000,0x3E7,0x00000,yes,2,0x3FFAA20,,0x128106,14,0x40,0x0F9C,,0x3e7,0x3e7,no,,,,other_can_object,low-for-wake
113,0x01E038,0x0F2C0000,0x3CB,0x00000,yes,6,0x3FFAA24,,0x128C72,14,0x80,0x0F2C,,0x3cb,0x3cb,no,,,,other_can_object,low-for-wake
114,0x01E03C,0x0F240000,0x3C9,0x00000,yes,8,0x3FFAA2C,0x109C5C,0x1282FA,14,0x01,0x0F24,,0x3c9,0x3c9,no,,,,other_can_object,low-for-wake
115,0x01E040,0x0CA80000,0x32A,0x00000,yes,8,0x3FFAA34,,0x129302,14,0x02,0x0CA8,,0x32a,0x32a,no,,,,other_can_object,low-for-wake
116,0x01E044,0x07E40000,0x1F9,0x00000,yes,8,0x3FFAA3C,,0x128A18,14,0x04,0x07E4,,0x1f9,0x1f9,no,,,,other_can_object,low-for-wake
117,0x01E048,0x07CC0000,0x1F3,0x00000,yes,3,0x3FFAA44,0x109C50,0x12819E,14,0x08,0x07CC,,0x1f3,0x1f3,no,,,,other_can_object,low-for-wake
118,0x01E04C,0x07C40000,0x1F1,0x00000,yes,8,0x3FFAA48,,0x12833C,15,0x10,0x07C4,,0x1f1,0x1f1,no,,,,legacy_standard_body_tx_candidate,low-for-wake
119,0x01E050,0x07840000,0x1E1,0x00000,yes,7,0x3FFAA50,0x109C3C,0x128DB8,15,0x20,0x0784,,0x1e1,0x1e1,no,,,,other_can_object,low-for-wake
120,0x01E054,0x05800000,0x160,0x00000,yes,5,0x3FFAA58,,0x12929A,15,0x40,0x0580,,0x160,0x160,no,,,,legacy_standard_body_tx_candidate,low-for-wake
121,0x01E058,0x05080000,0x142,0x00000,yes,4,0x3FFAA60,,0x1291FA,0,0x80,0x0508,,0x142,0x142,no,,,,other_can_object,low-for-wake
122,0x01E05C,0x05000000,0x140,0x00000,yes,3,0x3FFAA64,,0x129340,15,0x01,0x0500,,0x140,0x140,no,,,,body_display_state,low-for-wake
123,0x01E060,0x04E40000,0x139,0x00000,yes,8,0x3FFAA68,,0x129832,0,0x02,0x04E4,,0x139,0x139,no,,,,legacy_standard_body_tx_candidate,low-for-wake
124,0x01E064,0x04DC0000,0x137,0x00000,yes,8,0x3FFAA70,,0x1298BC,1,0x04,0x04DC,,0x137,0x137,no,,,,legacy_standard_body_tx_candidate,low-for-wake
125,0x01E068,0x04D40000,0x135,0x00000,yes,8,0x3FFAA78,,0x129946,0,0x00,0x04D4,,0x135,0x135,no,,,,legacy_standard_body_tx_candidate,low-for-wake
126,0x01E06C,0x04C00000,0x130,0x00000,yes,1,0x3FFAA80,,0x12949C,0,0x08,0x04C0,,0x130,0x130,no,,,,other_can_object,low-for-wake
127,0x01E070,0x04A80000,0x12A,0x00000,yes,8,0x3FFAA84,,0x1294D4,0,0x00,0x04A8,,0x12a,0x12a,no,,,,legacy_standard_body_tx_candidate,low-for-wake
128,0x01E074,0x04800000,0x120,0x00000,yes,5,0x3FFAA8C,,0x127E92,2,,0x0480,,0x120,0x120,no,,,,other_can_object,low-for-wake
129,0x01E078,0x04000000,0x100,0x00000,yes,0,,0x101EEE,0x101F7A,4,,0x0400,,0x100,0x100,yes,1,,,standard_dlc0_network_wake_candidate,medium: table+DLC0+live-standard-ID; bus direction unresolved
130,0x01E07C,0x03C40000,0x0F1,0x00000,yes,6,0x3FFAA94,0x109C38,0x12903A,8,,0x03C4,,0xf1,0xf1,no,,,,legacy_standard_body_tx_candidate,low-for-wake
